Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.71607971191406,72.77660582997152,71.46681974859514,71.7210264890596,135480400
2020-01-03,72.00912475585938,72.7717522953066,71.78396939069293,71.94133580542943,146322800
2020-01-06,72.58291625976562,72.62165386110323,70.87608272259153,71.12787343706493,118387200
2020-01-07,72.2415542602539,72.84923143823697,72.02123831231323,72.59260129853506,108872000
2020-01-08,73.40363311767578,73.70626361557562,71.94374389134458,71.94374389134458,132079200
2020-01-09,74.96279907226562,75.15647966923257,74.13238261481911,74.3841659131879,170108400
2020-01-10,75.13227844238281,75.69880941545972,74.6287043855216,75.19765137920673,140644800
2020-01-13,76.73744201660156,76.76407735420467,75.33081543031717,75.44945166218767,121532000
2020-01-14,75.70123291015625,76.88512745571894,75.57776463991175,76.67449772391772,161954400
2020-01-15,75.37678527832031,76.3839404992497,74.9434163205122,75.50026089033786,121923600
2020-01-16,76.32100677490234,76.43238014496747,75.55837921189631,75.92153589794125,108829200
2020-01-17,77.16593170166016,77.16834772132155,76.26287970437025,76.57034960714971,137816400
2020-01-21,76.64300537109375,77.23615682397768,76.50500406521856,76.79310894375465,110843200
2020-01-22,76.91658782958984,77.47100170840719,76.82216354627624,77.12963354237134,101832400
2020-01-23,77.28700256347656,77.3668937772688,76.42026453610515,76.96984634011159,104472000
2020-01-24,77.06427001953125,78.27963174807223,76.8730054274966,77.5339532626897,146537600
2020-01-27,74.79816436767578,75.48089322464955,73.81279759380895,75.06689673049003,161940000
2020-01-28,76.91417694091797,77.08606906211398,75.58260222996032,75.68186595866302,162234000
2020-01-29,78.5241470336914,79.37393591584485,77.80752001617462,78.55078236199498,216229200
2020-01-30,78.41036224365234,78.46362551493233,77.17078871761717,77.60415772537527,126743200
2020-01-31,74.9337387084961,78.12224966790679,74.63837103116171,77.69856694811635,199588400
2020-02-03,74.72796630859375,75.89732764326911,73.16881293673191,73.67238698147514,173788400
2020-02-04,77.19499206542969,77.38625661675313,75.93120675854502,76.33794039127015,136616400
2020-02-05,77.82447052001953,78.62583557722229,77.21920945636545,78.32562106551018,118826800
2020-02-06,78.73478698730469,78.73721039613278,77.53637437960353,78.09563507421905,105425600
2020-02-07,77.66458129882812,78.48240856737728,77.17194309043332,78.2324494253046,117684000
2020-02-10,78.03343200683594,78.03343200683594,76.16480809009461,76.24488890405078,109348800
2020-02-11,77.56263732910156,78.60373238920275,77.34422769426291,78.53093164624849,94323200
2020-02-12,79.4045639038086,79.40941481717738,78.01401070527898,78.01401070527898,113730400
2020-02-13,78.8391342163086,79.16675238353734,78.47026476188894,78.67411425559266,94747600
2020-02-14,78.85855865478516,79.10851777495836,78.34893117896286,78.80759072301922,80113600
2020-02-18,77.41460418701172,77.5966134445047,76.34923977828454,76.5312490357775,152531200
2020-02-19,78.5357894897461,78.76633753940254,77.65729255269991,77.65729255269991,93984000
2020-02-20,77.7300796508789,78.78573476731503,77.222881436687,78.29552586031969,100566000
2020-02-21,75.97066497802734,77.76649566805042,75.35183643347615,77.32238890983989,129554000
2020-02-24,72.36203002929688,73.81810418195764,70.19005719516358,72.13876947323553,222195200
2020-02-25,69.91096496582031,73.4176795737371,69.43774534651452,73.03425000192122,230673600
2020-02-26,71.02000427246094,72.28921804434103,69.52752997923261,69.53481005262495,198054800
2020-02-27,66.37755584716797,69.4061923618355,66.24165620285358,68.21706677109698,320605600
2020-02-28,66.33873748779297,67.56427105877654,62.21562305087625,62.431610947009084,426510000
2020-03-02,72.51490783691406,73.15315476053108,67.39680886693866,68.50342446012388,341397200
2020-03-03,70.21190643310547,73.77443320656704,69.35767141404621,73.69435237651876,319475600
2020-03-04,73.46864318847656,73.6288122283086,71.13650139150472,71.93976834476976,219178400
2020-03-05,71.08554077148438,72.69449642985231,70.71909308665877,71.71650028960082,187572800
2020-03-06,70.14151000976562,70.57590748684923,68.24861680086957,68.43547696188391,226176800
2020-03-09,64.59387969970703,67.48660954634035,63.82458392757783,64.00659319733327,286744800
2020-03-10,69.24602508544922,69.51297346708441,65.37044115282052,67.25606172575357,285290000
2020-03-11,66.84111022949219,68.24622444970127,65.97474396792425,67.3167666511251,255598800
2020-03-12,60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
2020-03-13,67.45748138427734,67.93070839286551,61.38565181622262,64.28324334840872,370732000
2020-03-16,58.77928924560547,62.87327957704444,58.24296696218062,58.71619032815072,322423600
2020-03-17,61.363826751708984,62.5165485741774,57.854685943845006,60.06549231026202,324056000
2020-03-18,59.861637115478516,60.66975874633833,57.54405159077075,58.187153255274865,300233600
2020-03-19,59.402976989746094,61.358969521399985,58.87636390068454,60.03636945225578,271857200
2020-03-20,55.63174819946289,61.11386719257989,55.330824836574074,59.98540735898822,401693200
2020-03-23,54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800
2020-03-24,59.91260528564453,60.10917472444294,56.859702380225244,57.359620632722056,287531200
2020-03-25,59.582550048828125,62.67185273031452,59.286481367958,60.85176020184459,303602000
2020-03-26,62.71796417236328,62.77620476506975,59.786401276197694,59.825230806660564,252087200
2020-03-27,60.121307373046875,62.09428547221415,59.95385824110164,61.33712804392787,204216800
2020-03-30,61.8370475769043,62.0093513301557,60.52415303960045,60.84934577792082,167976400
2020-03-31,61.710845947265625,63.70081315714961,61.15511262455559,62.02875857181586,197002000
2020-04-01,58.46379852294922,60.35912091217952,58.03183020107801,59.82037323829742,176218400
2020-04-02,59.439369201660156,59.49275888105111,57.49065701285396,58.32547341461665,165934000
2020-04-03,58.585147857666016,59.62623930857482,57.99301040837071,58.92247157470053,129880000
2020-04-06,63.69596481323242,63.851275540137046,60.51929722354272,60.88816668017039,201820400
2020-04-07,62.958213806152344,65.93588999958892,62.85386360925453,65.7174729657415,202887200
2020-04-08,64.56963348388672,64.8851133689353,63.39506746367334,63.761507888865104,168895200
2020-04-09,65.0355453491211,65.54032183594127,64.23713674062121,65.20785277807086,161834800
2020-04-13,66.31204223632812,66.42125075775364,64.51136064871955,65.11320728466447,131022800
2020-04-14,69.66102600097656,69.95224385539356,67.47691431078215,67.95014147271534,194994800
2020-04-15,69.02519226074219,69.48628092008256,68.10301494206142,68.53255414367216,131154400
2020-04-16,69.57365417480469,69.94010189303526,68.52042803590564,69.74110330393147,157125200
2020-04-17,68.629638671875,69.63676274652339,67.18812439019051,69.08830567330986,215250000
2020-04-20,67.20510864257812,68.35783414900595,67.18569757688921,67.4526460174679,130015200
2020-04-21,65.12776184082031,67.28275253901889,64.41428499057956,67.04735361351801,180991600
2020-04-22,67.0036849975586,67.4405043108994,66.05723821466911,66.39940914673265,116862400
2020-04-23,66.7440185546875,68.37482206031547,66.70518901812768,66.94786806714389,124814400
2020-04-24,68.67088317871094,68.68059241326806,67.22208912055947,67.27062788736906,126161200
2020-04-27,68.71944427490234,69.05191345824856,67.93801727360125,68.38696768557772,117087600
2020-04-28,67.60551452636719,69.3649373275059,67.51330272470628,69.18292807221569,112004800
2020-04-29,69.82603454589844,70.29683242001799,68.89414803177873,69.0979975124322,137280800
2020-04-30,71.2990951538086,71.47625350962926,69.97649890054853,70.36720857906009,183064000
2020-05-01,70.15122985839844,72.56103087905444,69.36980307576957,69.46687320779041,240616800
2020-05-04,71.14378356933594,71.27240315582554,69.48385993378157,70.17549663342325,133568000
2020-05-05,72.21156311035156,73.04637946818022,71.4592567243347,71.60486560646302,147751200
2020-05-06,72.95660400390625,73.58999276968885,72.5294865058915,72.91534530676655,142333600
2020-05-07,73.7113265991211,74.05836324243135,73.28178737986006,73.58513616899319,115215200
2020-05-08,75.46577453613281,75.51930873875061,74.04469357012428,74.37319856682336,133838400
2020-05-11,76.65328216552734,77.149682300424,74.76255653428882,74.97182937337452,145946400
2020-05-12,75.7772445678711,77.79206581684177,75.65557660011677,77.3394571152635,162301200
2020-05-13,74.8623046875,76.88199755928032,73.78189245874619,75.95731647939719,200622400
2020-05-14,75.32219696044922,75.38303093576837,73.37307401489639,74.09821767406875,158929200
2020-05-15,74.87689208984375,74.92312650763014,73.05187273308422,73.085943325568,166348400
2020-05-18,76.64108276367188,77.0158221767727,75.51200790514008,76.20551679383226,135178400
2020-05-19,76.19823455810547,77.50737593072427,76.16659969162133,76.65813571214994,101729600
2020-05-20,77.68013763427734,77.75069971271533,77.02069186607584,77.05962650901947,111504800
2020-05-21,77.10101318359375,78.08409270413537,76.8625412299203,77.54145075007376,102688800
2020-05-22,77.59740447998047,77.68013781166567,76.73599313969208,76.83819007988166,81803200
2020-05-26,77.0718002319336,78.89924821688763,77.01583028852903,78.71918198527375,125522000
2020-05-27,77.4075927734375,77.55359582351838,76.1860490206754,76.92822809774341,112945200
2020-05-28,77.4416732788086,78.70458757066594,76.80413421876992,77.08153336599706,133560800
2020-05-29,77.36622619628906,78.14733245248436,77.00852208206489,77.6849956705814,153532400
2020-06-01,78.31767272949219,78.43934069786921,77.18859041846218,77.31999390359594,80791200
2020-06-02,78.68025970458984,78.70459478928636,77.60714707589307,78.05002036888385,87642800
2020-06-03,79.11338806152344,79.37619506332315,78.4271788552984,79.00145559647322,104491200
2020-06-04,78.43206787109375,79.235073767937,78.05732832042142,78.93577521552638,87560400
2020-06-05,80.66587829589844,80.7267122915967,78.6534923915688,78.68269152133999,137250400
2020-06-08,81.142822265625,81.17689287086665,79.6487430542927,80.36171576772998,95654400
2020-06-09,83.70513153076172,84.09933458379527,80.7899715861673,80.82160644800746,147712400
2020-06-10,85.85865020751953,86.32828677869298,84.2161326502249,84.65657009743241,166651600
